 lr: 2.500000e-05, epoch: [12100/150000], all_loss: [0.0237], m_loss:[0.0149], s_loss:[0.0088] 
 lr: 2.500000e-05, epoch: [12200/150000], all_loss: [0.0762], m_loss:[0.0512], s_loss:[0.0251] 
 lr: 2.500000e-05, epoch: [12300/150000], all_loss: [0.0724], m_loss:[0.0547], s_loss:[0.0178] 
 lr: 2.500000e-05, epoch: [12400/150000], all_loss: [0.0539], m_loss:[0.0372], s_loss:[0.0166] 
 lr: 2.500000e-05, epoch: [12500/150000], all_loss: [0.0279], m_loss:[0.0192], s_loss:[0.0088] 
 iCoseg Cosal2015 f: [0.8421], m: [0.0757], f: [0.8461], m: [0.0860]
 lr: 2.500000e-05, epoch: [12600/150000], all_loss: [0.0619], m_loss:[0.0371], s_loss:[0.0247] 
 lr: 2.500000e-05, epoch: [12700/150000], all_loss: [0.0430], m_loss:[0.0244], s_loss:[0.0186] 
 lr: 2.500000e-05, epoch: [12800/150000], all_loss: [0.0254], m_loss:[0.0151], s_loss:[0.0103] 
 lr: 2.500000e-05, epoch: [12900/150000], all_loss: [0.0496], m_loss:[0.0328], s_loss:[0.0168] 
 lr: 2.500000e-05, epoch: [13000/150000], all_loss: [0.0556], m_loss:[0.0398], s_loss:[0.0157] 
 lr: 2.500000e-05, epoch: [13100/150000], all_loss: [0.0482], m_loss:[0.0327], s_loss:[0.0155] 
 lr: 2.500000e-05, epoch: [13200/150000], all_loss: [0.0482], m_loss:[0.0352], s_loss:[0.0130] 
 lr: 2.500000e-05, epoch: [13300/150000], all_loss: [0.0401], m_loss:[0.0278], s_loss:[0.0123] 
 lr: 2.500000e-05, epoch: [13400/150000], all_loss: [0.0254], m_loss:[0.0163], s_loss:[0.0091] 
 lr: 2.500000e-05, epoch: [13500/150000], all_loss: [0.0485], m_loss:[0.0273], s_loss:[0.0211] 
 lr: 2.500000e-05, epoch: [13600/150000], all_loss: [0.0394], m_loss:[0.0227], s_loss:[0.0167] 
 lr: 2.500000e-05, epoch: [13700/150000], all_loss: [0.0374], m_loss:[0.0252], s_loss:[0.0122] 
 lr: 2.500000e-05, epoch: [13800/150000], all_loss: [0.0490], m_loss:[0.0323], s_loss:[0.0167] 
 lr: 2.500000e-05, epoch: [13900/150000], all_loss: [0.0358], m_loss:[0.0216], s_loss:[0.0143] 
 lr: 2.500000e-05, epoch: [14000/150000], all_loss: [0.0514], m_loss:[0.0354], s_loss:[0.0160] 
 lr: 2.500000e-05, epoch: [14100/150000], all_loss: [0.0312], m_loss:[0.0166], s_loss:[0.0145] 
